Model,Segment,F1,Accuracy
Decision Tree,Lost / Inactive,0.9722921914357683,0.9746543778801844
Decision Tree,Loyal Customers,0.9764309764309764,0.9746543778801844
Decision Tree,Potential Loyalists,0.974496644295302,0.9746543778801844
Random Forest,Lost / Inactive,0.9897959183673469,0.9907834101382489
Random Forest,Loyal Customers,0.9898305084745763,0.9907834101382489
Random Forest,Potential Loyalists,0.9920424403183024,0.9907834101382489
K-Nearest Neighbour,Lost / Inactive,0.9822784810126582,0.9723502304147466
K-Nearest Neighbour,Loyal Customers,0.967741935483871,0.9723502304147466
K-Nearest Neighbour,Potential Loyalists,0.9707446808510638,0.9723502304147466
